task,production cost,production rate
T111,1.5,1.0
T112,1.5,1.5
T113,1.0,1.0
T114,2.0,1.5
T121,2.0,1.0
T122,2.0,0.75
T131,1.5,0.75
T132,1.5,1.0
T211,3.0,1.0
T212,1.5,1.0
T213,1.5,1.0
T214,1.5,0.75
T221,2.0,1.0
T222,2.0,1.0
T223,1.5,1.0
T231,2.0,1.5
T232,3.0,0.75
T241,2.0,1.5
T242,3.0,0.75
T251,1.0,1.0
T252,1.5,0.75
T311,2.0,0.75
T312,3.0,1.0
T313,1.0,0.75
T314,1.0,1.0
T321,2.0,1.0
T322,2.0,1.0
T331,1.0,1.0
T332,1.5,1.5
T333,1.5,1.5
T334,3.0,0.75
T341,1.5,1.0
T342,1.0,0.75
T343,1.0,1.0
T344,1.0,1.0
